Title,Date
"The X-Files: Season 2: F. Emasculata","2/17/17"
"Supernatural: Season 1: Hook Man","2/17/17"
"Prison Break: Season 1: Tonight","2/15/17"
"Prison Break: Season 1: The Key","2/15/17"
"Criminal Minds: Season 3: Tabula Rasa","2/13/17"
"The Vampire Diaries: Season 1: Pilot","2/9/17"
"Grease","2/2/17"
"License to Drive","2/2/17"
"The Prince & Me","2/1/17"
"The Princess Bride","1/19/17"
"Friends: Season 2: The One with the Prom Video","1/19/17"
"Nancy Drew","1/6/17"
"Prison Break: Season 1: Bluff","1/3/17"
"Prison Break: Season 1: J-Cat","1/2/17"
"Prison Break: Season 1: Brother's Keeper","12/31/16"
"Prison Break: Season 1: By the Skin and the Teeth","12/30/16"
"Prison Break: Season 1: The Rat","12/30/16"
"Prison Break: Season 1: End of the Tunnel","12/29/16"
"Prison Break: Season 1: Odd Man Out","12/29/16"
"Prison Break: Season 1: And Then There Were 7","12/29/16"
"Prison Break: Season 1: Sleight of Hand","12/29/16"
"Prison Break: Season 1: Tweener","12/29/16"
"Prison Break: Season 1: The Old Head","12/29/16"
"Prison Break: Season 1: Riots, Drills and the Devil: Part 2","12/29/16"
"Prison Break: Season 1: Riots, Drills and the Devil: Part 1","12/29/16"
"Prison Break: Season 1: English, Fitz or Percy","12/28/16"
"Prison Break: Season 1: Cute Poison","12/28/16"
"Prison Break: Season 1: Allen","12/28/16"
"Prison Break: Season 1: Pilot","12/28/16"
"Grease: Live","12/28/16"
"Sixteen Candles","12/28/16"
"Black Mirror: Season 2: The Waldo Moment","12/28/16"
"Black Mirror: Season 1: The National Anthem","12/23/16"
"The X-Files: Season 1: Roland","12/21/16"
"Stranger Things: Chapter Seven: The Bathtub","12/18/16"
"The X-Files: Season 1: Lazarus","12/16/16"
"The X-Files: Season 1: Gender Bender","12/16/16"
"London Has Fallen","12/16/16"
"Saved by the Bell: Season 1: Parents and Teachers","12/16/16"
"The X-Files: Season 1: Pilot","12/14/16"
"The X-Files: Season 1: Ice","12/14/16"
"Hawaii Five-0: Season 1: 'Ohana (Family)","12/12/16"
"Dexter: Season 1: Crocodile","12/12/16"
"Dexter: Season 2: Waiting to Exhale","12/12/16"
"Fuller House: Season 2: DJ and Kimmy's High School Reunion","12/11/16"
"Stranger Things: Chapter Six: The Monster","12/10/16"
"Saved by the Bell: Season 2: The Lisa Card","12/10/16"
"Hairspray","12/10/16"
"Stranger Things: Chapter Five: The Flea and the Acrobat","12/9/16"
"Stranger Things: Chapter Four: The Body","12/9/16"
"Grace and Frankie: Season 1: The End","12/9/16"
"Criminal Minds: Season 4: Pleasure Is My Business","12/9/16"
"Criminal Minds: Season 4: Masterpiece","12/5/16"
"Criminal Minds: Season 5: The Internet Is Forever","12/5/16"
"D2: The Mighty Ducks","12/3/16"
"Honey, I Shrunk the Kids","12/3/16"
"Saved by the Bell: Season 1: Leaping to Conclusions","11/28/16"
"Saved by the Bell: Season 1: Wall Street","11/27/16"
"Saved by the Bell: Season 1: Love Letters","11/27/16"
"Saved by the Bell: Season 1: Summer Love","11/27/16"
"Glee: Season 1: Pilot","11/25/16"
"Gilmore Girls: Season 5: Say Goodbye to Daisy Miller","11/25/16"
"Read It and Weep","11/23/16"
"Cheers: Season 1: Pilot: Give Me a Ring Sometime","11/22/16"
"Atlantis: Milo's Return","11/10/16"
"Criminal Minds: Season 2: Sex, Birth, Death","11/10/16"
"Criminal Minds: Season 3: Identity","11/10/16"
"Hawaii Five-0: Season 1: Pilot","11/6/16"
"Criminal Minds: Season 2: Aftermath","11/6/16"
"SMOSH: The Movie","10/23/16"
"Mono","10/8/16"
"The Fosters: Season 1: Pilot","10/7/16"
"Criminal Minds: Season 4: Zoe's Reprise","8/20/16"
"Criminal Minds: Season 2: The Last Word","8/18/16"
"The Magic School Bus: Season 1: The Magic School Bus In The Haunted House","8/17/16"
"Criminal Minds: Season 2: Lessons Learned","8/16/16"
"Criminal Minds: Season 2: Jones","8/15/16"
"30 for 30: Brian and the Boz","8/14/16"
"30 for 30: Pony Excess","8/7/16"
"Better Off Ted: Season 1: Heroes","7/21/16"
"Better Off Ted: Season 1: Pilot","7/21/16"
"Phineas and Ferb: Season 1: Phineas and Ferb Get Busted!: Parts 1 & 2","7/10/16"
"Back to the Future","7/8/16"
"Back to the Future Part II","7/8/16"
"Back to the Future Part III","7/8/16"
"Gilmore Girls: Season 1: That Damn Donna Reed","7/4/16"
"Gilmore Girls: Season 1: Concert Interruptus","7/1/16"
"Gilmore Girls: Season 1: Double Date","7/1/16"
"The X-Files: Season 4: Tunguska","7/1/16"
"The X-Files: Season 2: The Host","7/1/16"
"The X-Files: Season 2: Blood","7/1/16"
"Supernatural: Season 1: Asylum","7/1/16"
"Gilmore Girls: Season 1: Paris is Burning","6/30/16"
"Gilmore Girls: Season 1: Forgiveness and Stuff","6/30/16"
"Gilmore Girls: Season 1: Rory's Dance","6/29/16"
"Gilmore Girls: Season 1: Love & War & Snow","6/29/16"
"Jurassic Park","6/29/16"
"Gilmore Girls: Season 1: Rory's Birthday Parties","6/28/16"
"Gilmore Girls: Season 1: Cinnamon's Wake","6/27/16"
"Gilmore Girls: Season 1: The Deer Hunters","6/27/16"
"Psych: Season 1: Pilot","6/27/16"
"Gilmore Girls: Season 1: Kill Me Now","6/26/16"
"Gilmore Girls: Season 1: The Lorelais' First Day at Chilton","6/26/16"
"Pleasantville","6/21/16"
"The Giver","6/21/16"
"The Magic School Bus: Season 1: The Magic School Bus for Lunch","6/20/16"
"Bones: Season 1: Pilot","6/19/16"
"The Magic School Bus: Season 1: The Magic School Bus Inside Ralphie","6/19/16"
"Bob Ross: Beauty Is Everywhere: Collection 1: Cliffside","6/14/16"
"One Tree Hill: Season 1: Pilot","6/14/16"
"The Magic School Bus: Season 1: The Magic School Bus Gets Lost in Space","6/13/16"
"Robin Hood","6/11/16"
"High School Musical","6/8/16"
"Friends: Season 10: The Last One: Part 1 & Part 2","5/28/16"
"Friends: Season 2: The One with the List","5/28/16"
"Friends: Season 2: The One Where Ross Finds Out","5/26/16"
"Friends: Season 2: The One with the Baby on the Bus","5/25/16"
"Friends: Season 2: The One with Five Steaks and an Eggplant","5/25/16"
"Friends: Season 2: The One with Phoebe's Husband","5/25/16"
"Friends: Season 2: The One Where Heckles Dies","5/25/16"
"Friends: Season 2: The One with the Breast Milk","5/25/16"
"Friends: Season 2: The One with Ross's New Girlfriend","5/25/16"
"Friends: Season 1: The One Where Rachel Finds Out","5/22/16"
"Friends: Season 1: The One with the Birth","5/22/16"
"Friends: Season 1: The One with the Ick Factor","5/22/16"
"Friends: Season 1: The One with the Fake Monica","5/21/16"
"Palm Trees in the Snow","5/21/16"
"Boys and Girls","5/21/16"
"Drive Me Crazy","5/21/16"
"Friends: Season 1: The One with the Evil Orthodontist","5/21/16"
"Friends: Season 1: The One Where the Monkey Gets Away","5/21/16"
"Friends: Season 1: The One with All the Poker","5/21/16"
"Friends: Season 1: The One with the Two Parts: Part 2","5/18/16"
"Friends: Season 1: The One with the Two Parts: Part 1","5/18/16"
"Hercules","5/17/16"
"Friends: Season 1: The One with the Stoned Guy","5/15/16"
"Friends: Season 1: The One with the Candy Hearts","5/15/16"
"Friends: Season 1: The One with the Boobies","5/15/16"
"Friends: Season 1: The One with the Dozen Lasagnas","5/14/16"
"Friends: Season 1: The One with Mrs. Bing","5/14/16"
"Friends: Season 1: The One with the Monkey","5/13/16"
"Friends: Season 1: The One Where Underdog Gets Away","5/12/16"
"Friends: Season 1: The One with the Blackout","5/12/16"
"Friends: Season 1: The One with the Butt","5/12/16"
"Friends: Season 1: The One with the East German Laundry Detergent","5/12/16"
"Friends: Season 1: The One with George Stephanopoulos","5/12/16"
"Friends: Season 1: The One with the Thumb","5/10/16"
"Friends: Season 1: The One with the Sonogram at the End","5/10/16"
"Baby Daddy: Season 1: Pilot","5/9/16"
"Friends: Season 1: The One Where Monica Gets a Roommate (Pilot)","5/9/16"
"Tarzan","5/9/16"
"Gossip Girl: Season 1: Pilot","5/9/16"
"Supernatural: Season 1: Home","5/6/16"
"Barbie Life in the Dreamhouse: Season 1: Perf Pool Party & Trapped in the Dreamhouse","4/26/16"
"Supernatural: Season 1: Bugs","4/24/16"
"Supernatural: Season 1: Skin","4/23/16"
"Supernatural: Season 1: Bloody Mary","4/19/16"
"Supernatural: Season 1: Phantom Traveler","4/17/16"
"Supernatural: Season 1: Dead in the Water","4/17/16"
"Supernatural: Season 1: Wendigo","4/17/16"
"Supernatural: Season 1: Pilot","4/16/16"
"Good Will Hunting","4/16/16"
"The Seventies: Season 1: Television Gets Real","4/16/16"
"Buffy the Vampire Slayer: Season 1: Welcome to the Hellmouth","4/15/16"
"Girl Meets World: Season 1: Girl Meets World","4/15/16"
"90210: Season 3: Senior Year, Baby","4/10/16"
"90210: Season 1: Lucky Strike","4/10/16"
"90210: Season 1: We're Not in Kansas Anymore / The Jet Set","4/10/16"
"Criminal Minds: Season 4: Normal","4/2/16"
"An Apology to John Stamos","4/2/16"
"Dexter: Season 2: It's Alive","4/1/16"
"White Collar: Season 1: Pilot","3/29/16"
"Dexter: Season 1: Born Free","3/25/16"
"Mulan","3/25/16"
"Fuller House: Season 1: Mad Max","3/25/16"
"Dexter: Season 1: Truth Be Told","3/25/16"
"Dexter: Season 1: Seeing Red","3/25/16"
"Dexter: Season 1: Father Knows Best","3/25/16"
"Dexter: Season 1: Shrink Wrap","3/25/16"
"Dexter: Season 1: Circle of Friends","3/24/16"
"Dexter: Season 1: Return to Sender","3/23/16"
"Dexter: Season 1: Love American Style","3/23/16"
"Dexter: Season 1: Let's Give the Boy a Hand","3/23/16"
"Fuller House: Season 1: Our Very First Show, Again","3/23/16"
"Dexter: Season 1: Popping Cherry","3/21/16"
"The Walking Dead: Season 2: Pretty Much Dead Already","3/11/16"
"Grey's Anatomy: Season 1: A Hard Day's Night","3/7/16"
